Empresa, Yhaguy Baterias
,,,,,
NUMERO,DESCRIPCION,DEBE,HABER,SALDO
67 8430891 20-CM-NJP,DESEMBPRESTAMOS: 05053210217, ,192799732,611290851
67 8430892 20-CM-NJP,DESEMBPRESTAMOS: 05A12138917, ,52187072,663477923
56 8430870 00-CM-FCD,CERTIFICACIONES DE DOCUMENTOS,165000, ,663312923
69 116110 90-CM-ODL,CLEARING RECBCO17,15456310, ,647856613
69 116158 90-CM-ODL,CLEARING RECBCO17,173500, ,647683113
69 116075 90-CM-ODL,CLEARING RECBCO17,729500, ,646953613
69 116123 90-CM-ODL,CLEARING RECBCO44,7085000, ,639868613
84 634202 49-CM-SYS,SIPAP-170811108749 NC634202, ,3811145,643679758
0 4528567 97-SL-STO,DEBITO X OPERACCAMBIOS,437232353, ,206447405
0 18033091 93-K95FLM-LFI,DEPOSITO EFECTIVO-, ,19300000,225747405
0 18033091 93-K95FLM-LFI,DEPOSITO CHQN/BCO-053, ,1411000,227158405
0 18033092 93-K95FLM-LFI,DEPOSITO EFECTIVO-, ,600000,227758405
56 8432637 00-SL-STO,TRANSFERENCIAS INTERNACIONALES,198000, ,227560405
0 20316558 93-YUT-SLO,DEPOSITO EFECTIVO-, ,2399100,229959505
67 8433981 20-CM-JJA,DESEMBPRESTAMOS: 05A12140217, ,2108283,232067788
67 8433980 20-CM-JJA,DESEMBPRESTAMOS: 05053211517, ,218718465,450786253
0 4540871 97-SL-STO,DEBITO X OPERACCAMBIOS,436450883, ,14335370
56 8435743 00-SL-STO,TRANSFERENCIAS INTERNACIONALES,198000, ,14137370
0 18033097 93-K95FLM-JRU,DEPOSITO CHQ24HS-, ,24832364,38969734
0 18033097 93-K95FLM-JRU,DEPOSITO CHQN/BCO-046, ,6877104,45846838
0 18033093 93-K95FLM-JRU,DEPOSITO CHQ24HS-, ,11550000,57396838
69 116097 73-PUE-DFI,CHEQUE DEPN/B69 116097,17157000, ,40239838
0 18033096 93-K95FLM-JRU,DEPOSITO CHQ24HS-, ,1500000,41739838
69 116072 73-PUE-DFI,CHEQUE DEPN/B69 116072,24330000, ,17409838
0 18033098 93-K95FLM-JRU,DEPOSITO EFECTIVO-, ,400500,17810338
0 18033094 93-K95FLM-JRU,DEPOSITO CHQ24HS-, ,9582160,27392498
0 18033094 93-K95FLM-JRU,DEPOSITO EFECTIVO-, ,33876000,61268498
0 18033094 93-K95FLM-JRU,DEPOSITO CHQN/BCO-076, ,650000,61918498
69 116121 88-K95FLM-MJV,PAGO CHEQUE No116121,1060000, ,60858498
69 116105 73-SL-HVS,CHEQUE DEPN/B69 116105,210875, ,60647623
69 116111 44-SL-HVS,CHEQUE DEVOPERATIVO, ,1560000,62207623
69 116111 45-SL-HVS,CHEQUE DEVOPERATIVO,1560000, ,60647623
69 116058 73-PUE-CRN,CHEQUE DEPN/B69 116058,16809815, ,43837808
69 116100 73-PUE-CRN,CHEQUE DEPN/B69 116100,17220000, ,26617808
69 116172 73-PUE-CRN,CHEQUE DEPN/B69 116172,24536000, ,2081808
0 18033247 93-SL-HVS,DEPOSITO CHQN/BCO-065, ,57836153,59917961
0 18033246 93-SL-HVS,DEPOSITO CHQN/BCO-082, ,3683955,63601916
69 914407 73-SL-HVS,CHEQUE DEPN/B69 914407,3508955, ,60092961
69 914382 73-SL-HVS,CHEQUE DEPN/B69 914382,175000, ,59917961
0 18034228 93-SL-HVS,DEPOSITO CHQ24HS-, ,32238800,92156761
0 18034228 93-SL-HVS,DEPOSITO CHQN/BCO-087, ,8889754,101046515
0 18034230 93-SL-HVS,DEPOSITO EFECTIVO-, ,21425000,122471515
69 914385 73-SL-HVS,CHEQUE DEPN/B69 914385,1400000, ,121071515
0 18034230 93-SL-HVS,DEPOSITO CHQN/BCO-091, ,1400000,122471515
0 18034230 93-SL-HVS,DEPOSITO CHQ24HS-, ,1400000,123871515
7 307948 94-CM-ODL,Gesti�n de cobro Cheques,11000, ,123860515
7 307948 94-CM-ODL,CHEQUE DEVUELTO,2100000, ,121760515
69 116175 73-SL-HVS,CHEQUE DEPN/B69 116175,52414406, ,69346109
69 116156 90-CM-ODL,CLEARING RECBCO02,16000000, ,53346109
69 914409 90-CM-ODL,CLEARING RECBCO39,18470481, ,34875628
69 914408 73-SL-HVS,CHEQUE DEPN/B69 914408,2141280, ,32734348
69 116088 73-SL-HVS,CHEQUE DEPN/B69 116088,300000, ,32434348
0 18034232 93-CM-AJZ,DEPOSITO CHQ24HS-, ,15678492,48112840
0 18034232 93-CM-AJZ,DEPOSITO EFECTIVO-, ,15990000,64102840
0 18034231 93-CM-AJZ,DEPOSITO CHQ24HS-, ,460000,64562840
7 308014 94-CM-EMJ,CHEQUE DEVUELTO,28000000, ,36562840
7 308014 94-CM-EMJ,Gesti�n de cobro Cheques,11000, ,36551840
69 116136 73-ADC-RBG,CHEQUE DEPN/B69 116136,742500, ,35809340
0 18569879 93-CAA-ANC,DEPOSITO EFECTIVO-, ,800000,36609340
0 1963328 93-SL-HVS,DEPOSITO CHQN/BCO-179, ,50935090,87544430
68 981878 90-CM-ODL,CLEARING RECBCO17,369500, ,87174930
69 116114 90-CM-ODL,CLEARING RECBCO17,281000, ,86893930
68 687474 90-CM-ODL,CLEARING RECBCO17,1430500, ,85463430
69 116053 73-PUE-DFI,CHEQUE DEPN/B69 116053,17196685, ,68266745
0 18034233 93-CM-HOZ,DEPOSITO CHQ24HS-, ,7040000,75306745
0 18034233 93-CM-HOZ,DEPOSITO EFECTIVO-, ,22835000,98141745
0 18034233 93-CM-HOZ,DEPOSITO CHQN/BCO-034, ,2050000,100191745
0 18034234 93-CM-HOZ,DEPOSITO CHQ24HS-, ,3005700,103197445
0 18034234 93-CM-HOZ,DEPOSITO CHQN/BCO-041, ,10752255,113949700
68 94467 88-FDLM-JIJ,PAGO CHEQUE No94467,130000, ,113819700
67 373770 73-FDLM-JIJ,CHEQUE DEPN/B67 373770,320000, ,113499700
68 94482 73-FDLM-JIJ,CHEQUE DEPN/B68 94482,735000, ,112764700
0 1569075 93-SL-HVS,DEPOSITO CHQ48HS-, ,28000000,140764700
69 116155 90-CM-ODL,CLEARING RECBCO17,1636768, ,139127932
69 116144 90-CM-ODL,CLEARING RECBCO28,3316150, ,135811782
0 2001606 93-SL-HVS,DEPOSITO CHQ48HS-, ,5500000,141311782
67 8446551 20-CM-NJP,DESEMBPRESTAMOS: 05053214617, ,156942676,298254458
67 8446552 20-CM-NJP,DESEMBPRESTAMOS: 05A12142217, ,53037799,351292257
69 914394 73-PUE-EGF,CHEQUE DEPN/B69 914394,17485000, ,333807257
0 18034236 93-K95FLM-MJV,DEPOSITO CHQ24HS-, ,10655760,344463017
0 18034236 93-K95FLM-MJV,DEPOSITO EFECTIVO-, ,29000000,373463017
0 18034236 93-K95FLM-MJV,DEPOSITO CHQN/BCO-069, ,1546150,375009167
0 18034235 93-K95FLM-MJV,DEPOSITO CHQ24HS-, ,7031000,382040167
0 18034235 93-K95FLM-MJV,DEPOSITO CHQN/BCO-074, ,52782000,434822167
0 18034237 93-K95FLM-MJV,DEPOSITO CHQ24HS-, ,10347873,445170040
69 116145 73-K95FLM-MJV,CHEQUE DEPN/B69 116145,52782000, ,392388040
54 8449920 60-SL-STO,DB X CUOTA:05A12118517009,1503527, ,390884513
54 8449912 60-SL-STO,DB X CUOTA:05A12134217002,3007052, ,387877461
69 116138 90-CM-ODL,CLEARING RECBCO41,2827000, ,385050461
0 18572490 93-CAA-ANC,DEPOSITO EFECTIVO-, ,380000,385430461
69 116068 73-PUE-CRN,CHEQUE DEPN/B69 116068,17031000, ,368399461
0 18034238 93-K95FLM-JRU,DEPOSITO CHQN/BCO-043, ,10055082,378454543
0 18034240 93-K95FLM-JRU,DEPOSITO EFECTIVO-, ,626000,379080543
0 18034239 93-K95FLM-JRU,DEPOSITO CHQ24HS-, ,2388000,381468543
0 18034239 93-K95FLM-JRU,DEPOSITO EFECTIVO-, ,23041000,404509543
0 18034239 93-K95FLM-JRU,DEPOSITO CHQN/BCO-049, ,1466000,405975543
84 690546 49-CM-SYS,SIPAP-1708221011387 NC690546, ,100000000,505975543
7 308541 94-CM-ODL,CHEQUE DEVUELTO,28000000, ,477975543
7 308541 94-CM-ODL,Gesti�n de cobro Cheques,11000, ,477964543
7 308544 94-CM-ODL,Gesti�n de cobro Cheques,11000, ,477953543
7 308544 94-CM-ODL,CHEQUE DEVUELTO,5500000, ,472453543
56 8452114 00-SL-STO,TRANSFERENCIAS INTERNACIONALES,330000, ,472123543
0 4603695 97-SL-STO,DEBITO X OPERACCAMBIOS,400294538, ,71829005
69 914376 88-CM-DAJ,PAGO CHEQUE No914376,1700000, ,70129005
6 774626 89-CM-ABO,Provisi�n de Chequeras,360000, ,69769005
54 8453159 60-SL-LZO,DB X CUOTA:05053182817015,2000000, ,67769005
54 8453268 60-SL-LZO,DB X CUOTA:05053182817016,2554000, ,65215005
69 914398 73-PUE-CRN,CHEQUE DEPN/B69 914398,16885000, ,48330005
67 8453906 20-CM-NJP,DESEMBPRESTAMOS: 05A12143417, ,1142129,49472134
67 8453905 20-CM-NJP,DESEMBPRESTAMOS: 05053217317, ,191979349,241451483
0 18034242 93-K95FLM-LFI,DEPOSITO CHQN/BCO-059, ,3000000,244451483
84 696808 49-CM-SYS,SIPAP-170823142945 NC696808, ,150000000,394451483
0 18034243 93-K95FLM-LFI,DEPOSITO EFECTIVO-, ,352500,394803983
0 18034241 93-K95FLM-LFI,DEPOSITO EFECTIVO-, ,36640500,431444483
69 116066 73-K95FLM-LFI,CHEQUE DEPN/B69 116066,720000, ,430724483
0 18034241 93-K95FLM-LFI,DEPOSITO CHQ24HS-, ,1968240,432692723
69 914384 73-K95FLM-LFI,CHEQUE DEPN/B69 914384,3480000, ,429212723
69 914377 73-K95FLM-LFI,CHEQUE DEPN/B69 914377,720000, ,428492723
0 18034241 93-K95FLM-LFI,DEPOSITO CHQN/BCO-063, ,4920000,433412723
0 18034244 93-FDLM-MIV,DEPOSITO EFECTIVO-, ,45919000,479331723
0 18034244 93-FDLM-MIV,DEPOSITO CHQ24HS-, ,5734781,485066504
0 18034244 93-FDLM-MIV,DEPOSITO CHQN/BCO-016, ,990000,486056504
0 18034247 93-FDLM-MIV,DEPOSITO CHQN/BCO-021, ,37949665,524006169
0 18034246 93-FDLM-MIV,DEPOSITO CHQ24HS-, ,1436000,525442169
56 8457652 00-SL-STO,TRANSFERENCIAS INTERNACIONALES,330000, ,525112169
0 4629640 97-SL-STO,DEBITO X OPERACCAMBIOS,453667258, ,71444911
